Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
7/8/2014,620.75041,626.87452,614.74195,617.03703,1.43869931,891.9188518,619.9480639
7/9/2014,615.35044,627.89636,615.35044,627.89636,1.63253636,1024.378522,627.4766967
7/10/2014,632.10834,632.10834,614.47299,614.47299,0.64269544,399.829292,622.1131614
7/11/2014,618,629.4561,614.81343,629.4561,1.5033953,940.1726395,625.3662224
7/12/2014,631.64564,639.38158,631.58744,639.38158,0.72466054,458.7742865,633.0885445
7/13/2014,632,653.49,625.28785,626.50085,1.01076695,640.454844,633.632554
7/14/2014,629.95001,632.67046,618.14322,626.23343,1.34438355,836.3529017,622.1088481
7/15/2014,620.02698,620.02698,620.02698,620.02698,0.18,111.6048564,620.02698
7/16/2014,620.02697,626.16276,612.89942,625.22399,7.40718446,4575.51391,617.7129697
7/17/2014,625.224,630.00997,610.34746,624.97989,0.96305901,593.8320918,616.6102862
7/18/2014,624.55999,628.99999,615.17054,625.999,12.28947057,7601.798222,618.5618964
7/19/2014,628.99999,630,628.99999,630,1.55920445,981.0800969,629.2183792
7/20/2014,629.99899,629.99899,619,619,0.50676663,318.2703772,628.041308
7/21/2014,629.76875,629.76875,629.76875,629.76875,0.00063515,0.399997622,629.76875
7/22/2014,618.68819,618.68819,618.68818,618.68818,8.44036665,5221.955081,618.68818
7/23/2014,623.98,623.98,610,618.62146,7.49582514,4587.109957,611.9553046
7/24/2014,612.5,623.43078,593.86453,605.63646,17.72326386,10802.12675,609.48857
7/25/2014,600.00001,623.22268,593.8005,596.08217,8.67118094,5275.255092,608.3663953
7/26/2014,596.21431,607.95528,593.801,600,5.06278238,3023.579243,597.2169089
7/27/2014,600,600,600,600,0.1545,92.7,600
7/28/2014,593.80101,599.99999,574.57864,591.90124,4.09273484,2408.147137,588.3955915
7/29/2014,586.5,597.66468,575.0711,583.20902,2.67828707,1569.844956,586.137675
7/30/2014,577.44182,588.98043,566.75121,566.75121,11.66910091,6730.611879,576.7892429
7/31/2014,573.13807,591.9492,567.62816,590.1668,33.04695941,18998.18439,574.8844895
8/1/2014,590.09699,602.36146,584.77374,596.4,3.04581682,1807.69894,593.5021857
8/2/2014,596.4,601.18073,590.4867,590.4867,2.57203495,1525.890544,593.261979
8/3/2014,594.80131,594.80136,578.85629,578.85629,1.78503459,1058.220891,592.8293473
8/4/2014,579.32951,596.2458,579.32951,596.24532,4.11032835,2427.627358,590.6164062
8/5/2014,584.57433,598.03405,579.00019,579.00019,9.0423468,5380.369428,595.0191413
8/6/2014,0,0,0,0,0,0,0
8/7/2014,584.26767,593.00001,577.23864,580.58354,16.81014655,9858.054746,586.4347891
8/8/2014,589.74092,590,583.91906,590,0.42726298,251.9282398,589.6327358
8/9/2014,583.93908,590,578.13503,590,7.80408715,4552.335705,583.327123
8/10/2014,590,595.35548,583.24163,583.24163,1.65871468,976.2990544,588.5876976
8/11/2014,589.61366,595.36446,572.76593,572.76593,0.47791402,280.2381058,586.3776622
8/12/2014,572.76593,579.99771,566.99001,579.99771,3.81911972,2179.802906,570.7605589
8/13/2014,571.70103,571.70103,531.63618,535.08056,4.34921159,2443.413668,561.8061154
8/14/2014,535.00001,553.8341,501,523.75872,31.82821682,16362.69638,514.0940339
8/15/2014,525,530,501,529.99999,23.95719955,12475.58532,520.7447263
8/16/2014,501.1,529.85,500,503.52,11.01070929,5544.162589,503.5245635
8/17/2014,514,539.99462,500,500,2.65133722,1349.444336,508.9674471
8/18/2014,500.00001,505,455,455,28.54967639,13719.14785,480.5360196
8/19/2014,479.99799,500.5,460.3,474.02001,77.75579152,37096.87768,477.0947212
8/20/2014,495,530,477,530,13.53052555,6759.928312,499.6057461
8/21/2014,530,530,500.00642,505,4.62139148,2349.045866,508.2983938
8/22/2014,529.96506,529.96506,482.21557,529.95385,9.62058564,5098.38547,529.9454379
8/23/2014,529.95437,529.95437,482.27458,524.99999,0.563896,291.2924903,516.571301
8/24/2014,524.87999,524.87999,524.87999,524.87999,0.7,367.415993,524.87999
8/25/2014,500,524.87998,490.10042,516.11742,26.86,13340.9884,496.6860907
8/26/2014,0,0,0,0,0,0,0
8/27/2014,524.85421,524.85421,524.85358,524.85358,1.312091,688.6559677,524.8538155
8/28/2014,495.08275,495.08275,495.08275,495.08275,0.02382,11.79287111,495.08275
8/29/2014,524.78733,524.87551,524.78733,524.87543,0.517827,271.7644575,524.8170866
8/30/2014,495.25973,524.76998,495.25973,524.26603,0.45841051,228.6349307,498.7558655
8/31/2014,495.26149,509.98296,490.5,509.98296,5.61203945,2789.68713,497.089722
9/1/2014,490.01,490.01,490.01,490.01,0.09953429,48.77279744,490.01
9/2/2014,524.76939,524.76939,524.76939,524.76939,3.81E-05,0.019998961,524.76939
9/3/2014,0,0,0,0,0,0,0
9/4/2014,475.00156,475.00651,475.00081,475.00651,3.41005838,1619.788597,475.0031867
9/5/2014,0,0,0,0,0,0,0
9/6/2014,524.77,524.77,524.77,524.77,0.176851,92.80609927,524.77
9/7/2014,500,500,480.00001,480.00001,1.24003,605.2308234,488.0775654
9/8/2014,524.77,524.77,465.00143,488.76711,41.14063936,19631.50023,477.1802415
9/9/2014,465.00415,475,465.00415,475,0.50774803,236.8810624,466.532706
9/10/2014,475.00001,475.00001,475.00001,475.00001,0.02,9.5000002,475.00001
9/11/2014,475.00013,475.00013,475,475,1.01078477,480.1228504,475.0000838
9/12/2014,0,0,0,0,0,0,0
9/13/2014,474.76999,474.77,474.76999,474.77,0.14916,70.8166931,474.7699993
9/14/2014,490,490,490,490,0.21201223,103.8859927,490
9/15/2014,475.00001,475.00001,465.00781,465.00781,3.07923263,1442.651119,468.509948
9/16/2014,499.98933,527.99987,465,465.00001,2.76320289,1325.235307,479.6011583
9/17/2014,465.00001,465.00001,445.00001,445.00001,5.14001826,2361.661923,459.465668
9/18/2014,455.99999,503.18147,400,503.18147,18.12199892,7668.545227,423.1622163
9/19/2014,400,400,375.93621,375.93621,1.5,596.677285,397.7848567
9/20/2014,466.666,466.666,385.00001,385.00001,0.15591857,62.2112414,398.998281
9/21/2014,450,450,385.01001,385.01001,1.2,483.501001,402.9175008
9/22/2014,424.99784,425,295,404.82901,24.17732817,8288.42402,342.8180302
9/23/2014,425,452.99999,420.01001,420.01001,7.70277355,3357.93915,435.9389677
9/24/2014,420.02001,449.18,412.33637,433.15178,3.287,1380.548725,420.0026545
9/25/2014,413.00001,415,397,397,4.51108142,1856.809526,411.6107322
9/26/2014,0,0,0,0,0,0,0
9/27/2014,0,0,0,0,0,0,0
9/28/2014,446.02134,449.99795,387.62584,390,10.77926916,4543.243177,421.4797042
9/29/2014,393.99982,393.99982,370.00545,370.94491,0.71554983,277.8453263,388.2962648
9/30/2014,370.1167,393.21657,370.1167,380.02001,6.67925623,2591.80052,388.037295
10/1/2014,390,390,390,390,2,780,390
10/2/2014,380.05005,380.05005,370.10001,370.11002,0.275,102.4610042,372.5854698
10/3/2014,389.51342,389.97999,355,355,20.27,7557.101247,372.8219658
10/4/2014,359.97997,369.6289,322.11186,322.11186,38.10892397,12816.89885,336.3227694
10/5/2014,315.15148,330,273.32564,330,18.72145726,5862.375775,313.1367229
10/6/2014,320.00001,349.84513,300,349.84513,53.40589682,16835.60262,315.2386463
10/7/2014,315.06119,341.70602,315.06119,341.70602,0.421,141.4762129,336.0480116
